ID,Name,BirthDate,DeathDate,Nationality
1,Christopher Nolan,1970-07-30,,British
2,Leonardo DiCaprio,1974-11-11,,American
3,Joseph Gordon-Levitt,1981-02-17,,American
4,Elliot Page,1987-02-21,,Canadian
5,Frank Darabont,1959-01-28,,Hungarian-American
6,Tim Robbins,1958-10-16,,American
7,Morgan Freeman,1937-06-01,,American
8,Millie Bobby Brown,2004-02-19,,British
9,Winona Ryder,1971-10-29,,American
10,Damien Chazelle,1985-01-19,,American
11,Miles Teller,1987-02-20,,American
12,J.K. Simmons,1955-01-09,,American
13,Quentin Tarantino,1963-03-27,,American
14,John Travolta,1954-02-18,,American
15,Samuel L. Jackson,1948-12-21,,American
16,David Fincher,1962-08-28,,American
17,Brad Pitt,1963-12-18,,American
18,Edward Norton,1969-08-18,,American
19,Helena Bonham Carter,1966-05-26,,British
20,Vince Gilligan,1967-02-10,,American
21,Bryan Cranston,1956-03-07,,American
22,Aaron Paul,1979-08-27,,American
23,Heath Ledger,1979-04-04,2008-01-22,Australian
24,Christian Bale,1974-01-30,,British
25,Francis Ford Coppola,1939-04-07,,American
26,Marlon Brando,1924-04-03,2004-07-01,American
27,Al Pacino,1940-04-25,,American
28,James Caan,1940-03-26,,American
29,Emilia Clarke,1986-10-23,,British
30,Peter Dinklage,1969-06-11,,American
31,Robert Zemeckis,1952-05-14,,American
32,Tom Hanks,1956-07-09,,American
33,Robin Wright,1966-04-08,,American
34,Gary Sinise,1955-03-17,,American
35,The Wachowski Brothers,,,American
36,Keanu Reeves,1964-09-02,,Canadian
37,Laurence Fishburne,1961-07-30,,American
38,Steven Spielberg,1946-12-18,,American
39,Liam Neeson,1952-06-07,,Irish
40,Ben Kingsley,1943-12-31,,British
41,Martin Scorsese,1942-11-17,,American
42,Robert De Niro,1943-08-17,,American
43,Ray Liotta,1954-12-18,,American
44,Joe Pesci,1943-02-09,,American
45,Jennifer Aniston,1969-02-11,,American
46,Matthew Perry,1969-08-19,,American

